math,science,logical,creative,tech,business,career
96,85,10,4,9,4,AI Engineer
71,74,8,2,9,3,Cybersecurity Analyst
64,56,8,6,2,9,Civil Services
71,89,8,7,5,3,Biomedical Researcher
63,48,7,7,5,9,Product Manager
55,51,4,9,6,6,UI/UX Designer
52,48,7,9,6,4,UI/UX Designer
44,64,6,8,1,4,Psychologist
72,73,6,3,8,6,Data Analyst
81,99,7,6,6,3,Biomedical Researcher
76,71,6,7,3,6,Teacher
74,68,6,9,6,4,Architect
55,41,6,10,8,7,Content Creator
73,79,9,4,10,1,Cybersecurity Analyst
75,95,8,4,4,3,Doctor
84,99,7,5,5,2,Doctor
77,91,7,6,4,3,Doctor
69,61,6,6,4,8,Civil Services
78,65,8,6,3,8,Civil Services
51,69,7,8,3,4,Psychologist
87,97,7,4,5,3,Doctor
81,74,7,4,8,7,Data Analyst
50,62,4,10,7,6,UI/UX Designer
60,60,5,6,5,9,Product Manager
84,55,6,4,3,9,Finance Analyst
46,44,4,10,6,7,Content Creator
87,96,9,5,3,3,Doctor
82,72,8,4,8,5,Software Engineer
83,71,7,8,4,6,Architect
85,88,9,4,10,3,Cybersecurity Analyst
93,91,10,4,10,3,AI Engineer
57,70,5,7,5,4,Teacher
71,70,8,6,4,4,Teacher
38,53,7,9,8,6,UI/UX Designer
55,51,10,8,3,8,Lawyer
93,99,9,3,10,4,AI Engineer
57,64,8,6,1,8,Civil Services
79,72,8,3,8,4,Cybersecurity Analyst
80,63,10,3,9,4,Cybersecurity Analyst
80,75,7,4,8,3,Software Engineer
100,82,10,5,9,4,AI Engineer
74,93,7,5,4,2,Biomedical Researcher
53,31,5,10,5,7,Content Creator
82,86,8,5,8,3,Biomedical Researcher
87,68,8,4,10,5,Software Engineer
59,57,7,7,5,8,Product Manager
53,50,5,7,3,10,Marketing Manager
70,68,9,5,3,7,Civil Services
83,86,9,5,10,2,AI Engineer
53,53,4,10,5,6,UI/UX Designer
73,72,6,10,6,5,Architect
89,63,8,5,7,5,Data Analyst
68,73,9,5,5,10,Civil Services
45,54,4,10,8,6,UI/UX Designer
66,63,8,6,3,8,Civil Services
79,65,8,9,5,4,Architect
82,67,10,2,8,4,Cybersecurity Analyst
97,94,8,3,8,3,AI Engineer
70,93,8,6,3,3,Biomedical Researcher
72,73,8,3,9,2,Cybersecurity Analyst
78,95,7,4,5,3,Biomedical Researcher
79,71,8,4,9,3,Software Engineer
76,58,6,7,7,8,Product Manager
78,69,8,3,9,6,Data Analyst
59,52,5,7,3,10,Marketing Manager
76,54,7,3,5,9,Finance Analyst
79,72,8,3,9,3,Cybersecurity Analyst
78,68,8,6,1,8,Civil Services
48,52,4,9,5,7,Content Creator
77,67,7,3,7,6,Data Analyst
82,75,9,3,9,3,Cybersecurity Analyst
80,64,7,4,10,4,Software Engineer
71,61,7,9,6,3,Architect
72,74,7,5,8,5,Data Analyst
85,88,9,4,10,1,AI Engineer
90,87,9,5,10,3,AI Engineer
53,44,5,9,6,5,UI/UX Designer
79,79,7,4,9,3,Software Engineer
77,56,5,6,4,9,Product Manager
45,35,5,10,6,7,Content Creator
54,52,4,9,5,7,Content Creator
46,55,6,8,2,5,Psychologist
38,39,5,9,7,7,Content Creator
78,95,7,5,4,2,Doctor
50,43,7,7,2,10,Marketing Manager
56,52,10,7,2,7,Lawyer
77,66,7,4,10,3,Software Engineer
81,62,8,3,5,9,Finance Analyst
55,54,9,7,2,7,Lawyer
81,93,8,5,3,3,Biomedical Researcher
77,63,8,9,5,5,Architect
63,74,7,6,4,8,Civil Services
65,46,4,7,4,10,Marketing Manager
78,66,7,6,7,5,Data Analyst
54,55,5,8,3,5,Psychologist
65,76,6,6,3,6,Teacher
80,67,9,3,4,10,Finance Analyst
70,66,8,8,2,4,Teacher
53,60,7,8,3,6,Psychologist
50,61,6,7,6,10,Marketing Manager
83,58,6,9,5,5,Architect
81,67,7,5,9,4,Software Engineer
73,67,6,9,5,6,Architect
90,60,9,3,5,10,Finance Analyst
57,45,5,9,1,4,Psychologist
77,68,9,5,7,4,Data Analyst
52,56,4,10,7,4,UI/UX Designer
58,79,7,7,3,3,Teacher
80,65,7,10,5,5,Architect
76,78,8,4,8,6,Data Analyst
45,54,6,10,6,4,UI/UX Designer
90,76,9,3,10,3,Cybersecurity Analyst
87,71,7,5,8,5,Data Analyst
56,52,5,7,5,10,Marketing Manager
78,95,7,5,4,3,Biomedical Researcher
80,81,8,5,10,3,Software Engineer
75,64,7,9,6,3,Architect
54,51,6,6,5,10,Marketing Manager
67,64,7,8,6,9,Product Manager
48,46,4,9,7,9,Content Creator
85,95,7,4,5,2,Biomedical Researcher
64,64,4,8,3,5,Psychologist
58,48,10,6,2,5,Lawyer
75,91,6,4,3,3,Biomedical Researcher
81,73,9,3,6,9,Finance Analyst
75,70,8,5,7,6,Data Analyst
83,90,7,5,6,2,Biomedical Researcher
50,41,5,10,7,4,UI/UX Designer
75,68,8,9,4,4,Architect
38,50,5,9,6,6,Content Creator
48,56,7,9,7,6,UI/UX Designer
54,50,6,7,6,9,Product Manager
83,73,7,2,7,10,Finance Analyst
90,81,8,4,10,3,AI Engineer
85,75,9,4,9,3,Software Engineer
59,63,4,8,4,5,Teacher
64,50,7,7,5,9,Product Manager
83,66,8,3,7,6,Data Analyst
69,66,8,6,4,9,Civil Services
78,73,8,3,10,2,Cybersecurity Analyst
60,65,6,7,5,9,Product Manager
82,96,7,4,4,2,Doctor
82,83,8,5,9,3,Software Engineer
55,60,6,8,4,5,Psychologist
81,71,7,5,9,4,Software Engineer
57,72,6,7,2,5,Teacher
86,54,6,9,5,4,Architect
58,57,9,7,2,7,Lawyer
62,65,9,6,4,8,Civil Services
44,40,5,9,5,6,Content Creator
47,70,7,7,4,3,Psychologist
61,59,9,8,2,7,Lawyer
78,68,8,4,10,2,Cybersecurity Analyst
53,47,8,8,3,7,Lawyer
71,92,6,4,4,2,Biomedical Researcher
58,57,5,7,5,9,Product Manager
86,93,8,4,10,2,AI Engineer
79,92,7,7,2,2,Doctor
57,68,5,8,4,5,Psychologist
77,68,7,5,7,6,Data Analyst
62,54,6,7,5,9,Product Manager
72,70,5,9,5,4,Architect
73,65,8,4,7,6,Data Analyst
61,49,5,7,5,9,Product Manager
76,72,8,5,9,3,Cybersecurity Analyst
83,96,7,6,6,2,Biomedical Researcher
54,54,8,7,5,9,Product Manager
83,75,9,6,9,4,Software Engineer
48,40,5,10,6,8,Content Creator
76,66,8,3,7,6,Data Analyst
80,61,8,3,5,10,Finance Analyst
57,56,6,7,5,10,Product Manager
75,90,7,4,5,3,Biomedical Researcher
43,50,8,6,2,6,Lawyer
56,57,9,7,5,8,Product Manager
75,91,5,5,6,1,Biomedical Researcher
72,71,9,3,9,3,Cybersecurity Analyst
80,80,8,5,8,3,Software Engineer
65,48,9,7,3,8,Lawyer
82,58,8,8,5,3,Architect
83,79,9,4,8,3,Software Engineer
86,61,8,4,5,10,Finance Analyst
70,88,7,5,5,3,Biomedical Researcher
63,58,6,6,5,10,Product Manager
77,65,10,4,8,2,Cybersecurity Analyst
52,60,4,8,3,10,Marketing Manager
55,60,4,8,4,4,Psychologist
77,94,9,6,4,3,Doctor
51,50,4,8,4,10,Marketing Manager
80,76,8,4,9,5,Software Engineer
48,57,9,6,4,7,Lawyer
60,54,5,6,5,8,Product Manager
53,44,6,9,7,5,UI/UX Designer
89,76,8,2,9,2,AI Engineer
85,65,8,3,7,10,Finance Analyst
69,77,8,6,4,9,Civil Services
72,69,8,3,7,4,Software Engineer
54,46,4,9,8,5,UI/UX Designer
53,39,9,6,4,6,Lawyer
60,55,6,8,9,6,UI/UX Designer
72,53,10,6,3,5,Lawyer
74,69,8,3,9,2,Cybersecurity Analyst
54,68,8,8,3,5,Psychologist
56,59,9,7,5,7,Lawyer
80,61,8,9,6,3,Architect
51,37,4,9,7,5,UI/UX Designer
56,61,6,7,2,10,Marketing Manager
81,67,6,4,10,4,Software Engineer
56,53,7,9,7,5,UI/UX Designer
53,44,6,7,4,10,Marketing Manager
49,71,8,8,1,6,Psychologist
80,100,7,4,2,2,Doctor
76,67,7,8,3,5,Architect
81,93,8,5,4,4,Doctor
80,62,8,4,3,10,Finance Analyst
65,57,8,6,6,8,Product Manager
72,49,9,8,2,6,Lawyer
77,89,8,5,5,3,Biomedical Researcher
82,64,7,9,5,2,Architect
80,79,10,2,10,3,Cybersecurity Analyst
78,72,7,6,9,3,Software Engineer
72,58,8,8,3,8,Civil Services
60,63,5,8,3,4,Psychologist
61,60,7,8,6,8,Product Manager
57,52,6,9,7,6,UI/UX Designer
82,77,9,4,10,5,Cybersecurity Analyst
58,60,6,8,3,6,Psychologist
57,60,7,7,5,9,Product Manager
57,47,6,7,3,6,Psychologist
53,39,6,7,3,10,Marketing Manager
71,73,7,3,10,6,Data Analyst
69,94,6,6,7,2,Biomedical Researcher
74,60,7,9,4,4,Architect
69,62,4,7,4,5,Teacher
85,88,9,4,10,3,AI Engineer
89,89,9,5,9,3,AI Engineer
53,59,9,7,3,7,Lawyer
76,64,4,8,1,6,Teacher
84,76,9,4,10,3,Software Engineer
82,65,7,2,5,9,Finance Analyst
48,45,3,9,6,6,Content Creator
85,52,7,3,6,9,Finance Analyst
54,54,9,8,1,7,Lawyer
77,68,7,9,5,4,Architect
57,69,6,8,2,5,Psychologist
85,79,7,4,6,5,Software Engineer
78,92,9,3,10,3,Cybersecurity Analyst
72,64,9,4,8,4,Data Analyst
47,43,5,10,6,6,Content Creator
75,72,8,6,3,9,Civil Services
66,62,6,9,4,4,Teacher
73,98,7,5,4,3,Doctor
87,72,5,9,7,5,Architect
50,53,6,7,6,9,Product Manager
62,53,6,6,6,8,Product Manager
67,69,8,3,9,7,Data Analyst
62,69,6,7,3,4,Teacher
51,57,5,6,4,10,Marketing Manager
77,92,7,4,6,2,Biomedical Researcher
74,92,7,3,5,2,Biomedical Researcher
58,83,6,8,3,5,Teacher
56,66,6,8,4,4,Psychologist
60,63,7,6,4,8,Civil Services
80,71,6,9,6,5,Architect
57,59,8,7,1,7,Lawyer
81,80,8,6,9,3,Software Engineer
43,53,4,10,7,5,UI/UX Designer
39,52,5,9,8,4,UI/UX Designer
66,49,7,10,4,5,Architect
64,68,7,4,9,5,Data Analyst
45,49,4,10,8,7,Content Creator
55,53,9,7,3,7,Lawyer
58,58,6,8,3,5,Psychologist
57,52,7,7,7,9,Product Manager
81,54,9,3,5,9,Finance Analyst
88,58,10,4,4,9,Finance Analyst
69,49,9,6,2,7,Lawyer
63,72,7,8,3,4,Teacher
45,60,9,7,3,9,Lawyer
81,93,6,6,4,3,Biomedical Researcher
64,78,5,8,4,4,Teacher
50,42,4,9,6,7,Content Creator
74,62,8,3,9,6,Data Analyst
49,36,4,10,6,6,Content Creator
82,62,7,5,8,5,Data Analyst
82,95,8,4,3,4,Doctor
78,58,7,9,6,4,Architect
86,96,7,6,5,4,Doctor
85,76,8,5,10,3,Software Engineer
89,83,8,6,9,3,AI Engineer
71,71,7,8,4,4,Teacher
83,75,9,5,8,3,Software Engineer
89,76,9,3,10,4,Cybersecurity Analyst
86,63,10,4,6,9,Finance Analyst
67,67,8,3,8,6,Data Analyst
80,61,6,9,5,4,Architect
74,62,7,7,2,8,Civil Services
77,95,7,5,5,2,Biomedical Researcher
78,72,9,4,10,2,Cybersecurity Analyst
78,74,5,4,7,6,Data Analyst
62,66,8,7,4,9,Product Manager
57,66,5,8,7,8,Product Manager
52,40,10,7,2,7,Lawyer
77,77,6,5,8,5,Software Engineer
81,85,7,5,2,3,Biomedical Researcher
50,57,9,7,2,8,Lawyer
57,49,4,6,4,10,Marketing Manager
80,71,6,4,7,6,Data Analyst
61,63,7,6,2,7,Civil Services
64,51,9,6,3,7,Lawyer
45,39,6,9,6,8,Content Creator
61,46,6,7,5,9,Marketing Manager
89,77,8,4,9,3,Software Engineer
77,99,8,4,3,4,Doctor
47,53,4,7,5,9,Marketing Manager
82,72,8,4,9,3,Software Engineer
74,68,8,3,9,3,Cybersecurity Analyst
67,63,6,7,6,9,Product Manager
84,99,7,5,3,4,Doctor
92,62,8,4,4,10,Finance Analyst
50,50,4,10,8,7,UI/UX Designer
73,81,9,3,8,6,Data Analyst
58,49,9,6,3,8,Lawyer
76,65,6,3,9,5,Data Analyst
71,54,7,9,5,3,Architect
55,67,6,8,2,4,Teacher
89,86,8,3,9,4,AI Engineer
65,52,9,7,3,8,Lawyer
74,76,9,1,10,3,Cybersecurity Analyst
90,51,9,4,6,9,Finance Analyst
78,75,8,3,8,2,Software Engineer
52,46,4,10,7,5,UI/UX Designer
54,32,4,7,4,10,Marketing Manager
70,94,7,6,6,3,Biomedical Researcher
73,92,8,7,4,3,Biomedical Researcher
58,46,4,7,4,10,Marketing Manager
56,41,7,6,3,9,Marketing Manager
83,96,7,5,5,4,Doctor
50,48,4,9,5,7,Content Creator
65,48,9,7,2,8,Lawyer
55,58,6,7,5,10,Product Manager
96,85,10,6,10,3,AI Engineer
76,64,8,9,6,4,Architect
38,48,5,9,6,7,Content Creator
49,45,4,10,7,7,UI/UX Designer
81,73,8,4,6,6,Data Analyst
87,77,10,3,10,2,AI Engineer
70,77,9,4,10,4,Software Engineer
77,65,8,9,6,4,Architect
72,47,4,8,4,10,Marketing Manager
79,79,9,4,9,4,Software Engineer
89,90,8,4,9,2,AI Engineer
45,49,4,6,3,10,Marketing Manager
80,70,8,4,10,4,Software Engineer
75,97,7,5,4,2,Biomedical Researcher
47,44,7,9,6,7,Content Creator
55,65,8,9,3,5,Psychologist
53,49,10,7,3,7,Lawyer
61,51,7,7,7,9,Product Manager
61,61,7,8,4,5,Psychologist
79,99,7,4,5,3,Doctor
67,75,7,7,4,5,Teacher
89,62,8,3,9,2,Cybersecurity Analyst
43,33,5,10,4,6,Content Creator
76,74,9,3,7,6,Data Analyst
78,74,8,2,10,2,Cybersecurity Analyst
68,72,9,6,2,8,Civil Services
57,42,5,9,6,5,UI/UX Designer
62,39,5,7,5,10,Marketing Manager
62,76,6,8,3,4,Teacher
61,63,3,8,5,9,Marketing Manager
36,35,5,10,5,7,Content Creator
90,55,9,3,4,10,Finance Analyst
90,72,7,5,9,4,Software Engineer
87,59,8,3,6,10,Finance Analyst
71,74,7,9,6,4,Architect
78,60,8,9,3,4,Architect
88,89,9,4,8,4,AI Engineer
85,86,8,5,9,4,AI Engineer
82,72,9,4,10,3,Software Engineer
58,53,5,7,5,9,Marketing Manager
66,61,6,6,8,9,Product Manager
57,69,6,8,2,5,Psychologist
85,88,9,6,10,3,AI Engineer
86,95,9,4,5,4,Doctor
81,96,7,4,4,3,Doctor
58,47,9,8,2,6,Lawyer
52,48,9,8,3,6,Lawyer
68,75,7,7,3,8,Civil Services
49,39,3,10,6,7,Content Creator
75,64,5,4,7,6,Data Analyst
73,79,9,6,4,8,Civil Services
60,47,10,7,5,7,Lawyer
79,57,9,4,5,10,Finance Analyst
83,58,8,2,4,9,Finance Analyst
73,74,6,10,3,4,Architect
75,71,9,10,3,3,Architect
71,90,7,6,6,3,Doctor
80,80,9,4,10,2,Cybersecurity Analyst
79,74,7,2,9,6,Data Analyst
87,90,9,3,9,2,AI Engineer
90,82,9,4,10,3,AI Engineer
51,68,4,8,2,6,Psychologist
53,50,5,7,5,9,Marketing Manager
54,54,8,7,2,7,Lawyer
93,88,9,3,9,4,AI Engineer
77,70,8,2,9,3,Cybersecurity Analyst
72,71,7,4,9,4,Data Analyst
87,71,8,3,10,3,Cybersecurity Analyst
57,50,6,6,4,10,Marketing Manager
92,80,9,2,9,3,AI Engineer
67,68,8,8,5,9,Product Manager
85,57,10,4,4,9,Finance Analyst
72,74,9,5,7,7,Data Analyst
93,85,9,4,9,3,AI Engineer
52,36,9,7,3,7,Lawyer
97,86,9,3,9,2,AI Engineer
79,66,7,4,7,7,Data Analyst
92,58,7,3,5,10,Finance Analyst
82,76,6,3,9,4,Software Engineer
79,78,8,4,9,4,Software Engineer
68,49,9,7,3,8,Lawyer
46,38,4,10,6,7,Content Creator
60,57,7,7,6,9,Product Manager
73,65,7,8,5,9,Civil Services
63,69,8,6,3,7,Civil Services
88,98,8,5,3,3,Doctor
60,47,4,8,6,9,Marketing Manager
75,72,8,6,10,3,Software Engineer
80,79,8,2,9,4,Cybersecurity Analyst
68,59,9,6,2,8,Civil Services
38,46,6,7,3,10,Marketing Manager
69,57,8,7,4,3,Teacher
60,52,4,6,5,10,Marketing Manager
73,65,8,9,5,4,Architect
75,60,8,4,5,9,Finance Analyst
72,72,7,8,6,5,Architect
86,89,9,4,10,4,AI Engineer
76,71,8,10,5,4,Architect
84,84,8,5,10,3,AI Engineer
70,71,8,3,10,4,Cybersecurity Analyst
79,66,6,5,8,6,Data Analyst
79,70,7,4,6,10,Finance Analyst
78,63,8,4,7,7,Data Analyst
33,45,3,9,4,6,Content Creator
43,44,6,9,7,7,Content Creator
63,57,7,7,6,9,Product Manager
71,71,8,7,3,9,Civil Services
78,88,9,3,9,3,AI Engineer
87,94,9,4,10,4,AI Engineer
87,66,7,4,10,4,Software Engineer
84,73,8,5,9,4,Software Engineer
85,92,9,5,10,4,AI Engineer
53,41,3,8,5,10,Marketing Manager
90,79,9,4,9,3,AI Engineer
79,90,9,4,3,3,Doctor
70,53,8,5,3,8,Civil Services
83,64,8,4,10,4,Software Engineer
90,66,8,6,9,4,Software Engineer
81,89,8,6,5,2,Biomedical Researcher
62,59,7,6,4,9,Product Manager
83,83,8,6,9,3,Software Engineer
87,80,8,3,10,3,AI Engineer
66,84,7,6,3,5,Teacher
70,69,8,6,2,8,Civil Services
60,48,5,7,7,9,Marketing Manager
77,93,8,5,5,3,Doctor
63,95,5,5,6,3,Biomedical Researcher
88,88,7,5,9,3,Software Engineer
74,74,7,5,9,4,Software Engineer
60,52,4,9,8,5,UI/UX Designer
68,71,7,6,3,8,Civil Services
65,43,5,7,5,9,Product Manager
57,36,7,9,6,7,Content Creator
89,88,9,3,9,2,AI Engineer
69,63,6,8,5,4,Teacher
78,81,9,3,10,4,Cybersecurity Analyst
74,67,6,10,6,5,Architect
86,80,10,4,9,3,AI Engineer
48,43,5,10,5,5,UI/UX Designer
75,79,8,3,10,3,AI Engineer
54,53,9,6,3,7,Lawyer
48,49,6,9,5,8,Content Creator
67,96,6,5,6,2,Biomedical Researcher
88,95,7,5,4,2,Doctor
90,92,8,4,5,4,Doctor
74,83,8,6,3,8,Civil Services
63,55,6,6,6,8,Product Manager
80,88,8,6,6,3,Biomedical Researcher
42,51,6,10,5,5,UI/UX Designer
79,83,8,5,9,2,Software Engineer
72,67,8,8,2,8,Civil Services
65,71,8,3,6,5,Data Analyst
47,44,5,9,6,6,Content Creator
82,88,9,4,10,3,AI Engineer
67,68,8,6,3,8,Civil Services
84,68,9,3,9,5,Cybersecurity Analyst
88,64,10,5,10,4,Software Engineer
49,58,6,7,3,4,Psychologist
78,73,5,7,3,4,Teacher
86,85,9,4,9,3,AI Engineer
83,79,8,4,9,3,AI Engineer
37,65,9,7,3,5,Psychologist
91,90,8,4,2,4,Doctor
60,46,5,9,7,6,UI/UX Designer
74,76,8,3,9,3,Cybersecurity Analyst
52,52,9,7,3,6,Lawyer
64,67,8,7,3,8,Civil Services
90,96,8,3,10,3,AI Engineer
48,67,7,7,2,4,Psychologist
82,57,8,4,4,10,Finance Analyst
91,57,7,2,3,9,Finance Analyst
51,39,5,10,8,7,Content Creator
95,88,8,3,10,4,AI Engineer
81,64,6,9,4,3,Architect
80,66,9,4,10,3,Cybersecurity Analyst
65,69,6,8,3,4,Teacher
82,68,9,4,5,10,Finance Analyst
63,57,6,8,5,10,Product Manager
68,73,6,7,6,4,Teacher
82,71,6,10,5,5,Architect
76,70,7,6,3,9,Civil Services
53,63,7,8,3,4,Psychologist
50,42,5,10,7,5,UI/UX Designer
83,91,9,4,5,3,Doctor
80,67,8,9,5,3,Architect
76,59,6,9,5,3,Architect
87,88,10,5,10,2,AI Engineer
71,68,9,3,10,2,Cybersecurity Analyst
80,56,6,9,4,3,Architect
54,51,5,8,6,9,Product Manager
82,85,10,3,10,3,AI Engineer
55,60,6,6,7,9,Product Manager
75,62,6,10,5,2,Architect
85,75,7,5,9,4,Software Engineer
83,73,9,5,10,4,Software Engineer
87,54,9,3,4,9,Finance Analyst
74,69,8,5,8,6,Data Analyst
60,67,5,8,4,4,Psychologist
41,43,3,9,7,7,Content Creator
55,51,9,7,2,7,Lawyer
61,70,7,9,4,6,Psychologist
62,57,9,6,3,8,Civil Services
86,72,8,9,5,4,Architect
91,80,9,3,9,2,AI Engineer
46,51,6,9,4,5,UI/UX Designer
73,68,10,2,10,2,Cybersecurity Analyst
76,73,8,3,6,6,Data Analyst
82,94,8,5,5,3,Biomedical Researcher
46,46,6,10,7,5,UI/UX Designer
70,89,8,3,5,3,Biomedical Researcher
69,97,7,4,6,2,Biomedical Researcher
87,95,8,5,4,2,Doctor
48,42,5,9,6,8,Content Creator
52,55,4,10,5,4,UI/UX Designer
87,66,8,9,7,3,Architect
69,51,9,8,2,7,Lawyer
34,44,5,10,6,6,Content Creator
72,87,8,5,6,2,Biomedical Researcher
55,45,5,5,2,9,Marketing Manager
77,79,9,3,9,3,Cybersecurity Analyst
59,43,9,6,4,7,Lawyer
65,64,6,7,5,8,Product Manager
73,77,7,3,10,3,Cybersecurity Analyst
51,47,5,7,4,10,Marketing Manager
43,39,3,10,5,7,Content Creator
81,72,9,4,10,2,Cybersecurity Analyst
51,54,6,8,4,6,Psychologist
58,56,7,8,3,4,Psychologist
46,32,4,10,7,7,Content Creator
93,61,9,5,4,9,Finance Analyst
75,62,7,4,7,5,Data Analyst
77,73,8,1,9,4,Cybersecurity Analyst
71,52,9,7,3,9,Civil Services
78,58,8,6,6,6,Data Analyst
68,98,8,5,4,3,Biomedical Researcher
57,59,7,7,7,9,Product Manager
76,86,10,4,10,3,Cybersecurity Analyst
95,59,9,3,6,10,Finance Analyst
66,96,7,6,5,2,Biomedical Researcher
74,58,8,6,2,9,Civil Services
61,54,5,7,5,5,Psychologist
75,63,7,5,2,7,Civil Services
58,61,5,8,3,5,Psychologist
87,95,7,5,4,2,Doctor
75,49,6,9,6,3,Architect
77,90,7,5,4,3,Doctor
84,90,7,4,4,3,Doctor
48,45,6,9,7,7,Content Creator
76,94,9,5,6,2,Biomedical Researcher
78,78,9,4,10,2,AI Engineer
45,46,4,10,6,6,Content Creator
63,66,6,7,4,9,Product Manager
76,56,7,9,4,5,Architect
68,66,10,2,10,3,Cybersecurity Analyst
61,66,7,7,3,9,Civil Services
86,80,9,4,8,3,AI Engineer
85,76,9,4,9,4,Software Engineer
39,42,5,9,6,6,Content Creator
85,88,7,4,5,4,Biomedical Researcher
84,94,7,3,4,3,Doctor
65,56,7,5,5,8,Product Manager
42,38,4,10,8,7,Content Creator
47,60,5,6,4,10,Marketing Manager
47,51,10,7,3,7,Lawyer
70,74,7,3,7,5,Data Analyst
58,54,5,9,5,5,UI/UX Designer
69,57,8,3,4,9,Finance Analyst
75,93,7,5,5,3,Biomedical Researcher
54,69,7,7,6,8,Product Manager
64,60,7,8,4,4,Teacher
46,42,5,9,6,5,UI/UX Designer
59,56,6,9,4,5,Psychologist
48,73,6,8,2,4,Psychologist
69,70,8,7,3,8,Civil Services
76,77,8,3,10,3,Cybersecurity Analyst
72,74,8,4,8,3,Software Engineer
45,45,4,10,5,7,Content Creator
81,81,9,5,10,3,AI Engineer
78,76,8,2,9,3,Cybersecurity Analyst
88,89,9,4,10,4,AI Engineer
65,77,7,7,2,4,Teacher
44,32,5,9,7,6,Content Creator
79,84,7,7,6,3,Biomedical Researcher
79,61,6,9,4,4,Architect
70,78,7,8,5,4,Teacher
83,59,7,3,5,10,Finance Analyst
45,39,5,10,6,8,Content Creator
61,62,10,7,3,7,Lawyer
66,86,4,7,2,4,Teacher
49,37,4,9,8,4,UI/UX Designer
73,67,9,3,6,4,Data Analyst
40,41,5,10,6,7,Content Creator
85,86,9,4,10,2,AI Engineer
38,44,6,9,7,6,Content Creator
56,67,7,8,3,6,Psychologist
57,49,7,6,3,6,Lawyer
81,93,7,6,4,4,Biomedical Researcher
79,78,8,5,9,4,Software Engineer
56,56,5,8,2,3,Psychologist
35,50,5,9,6,7,Content Creator
79,66,5,9,4,5,Architect
71,71,7,6,4,9,Civil Services
70,94,8,5,3,2,Biomedical Researcher
49,65,5,9,6,5,UI/UX Designer
78,89,6,6,4,3,Biomedical Researcher
91,63,8,3,6,10,Finance Analyst
92,54,9,2,4,10,Finance Analyst
55,55,5,8,5,10,Marketing Manager
55,53,6,8,6,8,Product Manager
82,92,10,4,9,3,Cybersecurity Analyst
90,68,8,5,9,4,Software Engineer
78,68,8,3,10,4,Cybersecurity Analyst
62,67,6,8,4,5,Teacher
80,96,7,5,4,4,Doctor
44,44,6,9,7,7,Content Creator
51,60,6,8,2,6,Psychologist
68,66,5,7,2,3,Psychologist
74,94,7,4,5,4,Doctor
78,92,5,5,5,3,Biomedical Researcher
53,47,6,9,7,6,Content Creator
85,64,8,3,6,10,Finance Analyst
